,artist_name,album_name,spotify_id,popularity,duration_ms,tempo,loudness,instrumentalness,acousticness,speechiness,liveness,danceability,energy,valence,key,mode,time_signature,duration_ms_standard_dev,tempo_standard_dev,loudness_standard_dev,instrumentalness_standard_dev,acousticness_standard_dev,speechiness_standard_dev,liveness_standard_dev,danceability_standard_dev,energy_standard_dev,valence_standard_dev,score
987,Post Malone,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,89.0,214114.22222222222,136.3707777777778,-5.650555555555556,0.05555555555555555,0.2777777777777778,0.07289444444444443,0.0,0.6537222222222222,0.6317222222222223,0.3435555555555556,5,1,4,30182.65868021795,29.059157004807716,1.673056562533947,0.23570226039551584,0.4608885989624768,0.05212553255162818,0.0,0.10599600744731492,0.11224123471898298,0.1821864662831244,7.0
988,Power Trip,Nightmare Logic,3suNG9n4WGYQabXhUTkQ70,48.0,245001.0,144.19625,-4.036874999999999,0.875,0.0,0.1471,0.0,0.28112499999999996,0.9852500000000001,0.20385,11,1,4,41492.487495586814,37.99189072401786,0.433487662536581,0.3535533905932738,0.0,0.05577649274431966,0.0,0.08662470366883966,0.011398621470536316,0.15140827492011694,7.0
989,Preoccupations,New Material,1ZGiarrW4MVo8xHK5WQEnF,32.0,271404.75,112.958375,-5.249124999999999,0.375,0.0,0.0616375,0.0,0.37675,0.8271249999999999,0.3365625,2,1,4,50001.99686226827,34.29542415099175,1.7432410240288474,0.5175491695067657,0.0,0.030552434436555136,0.0,0.10335756244361473,0.1609271685310736,0.1668608140037678,5.0
990,Preoccupations,Preoccupations,1BedrXdH4el7fWWIYMC99N,32.0,255742.11111111112,131.34166666666664,-7.5617777777777775,0.8888888888888888,0.3333333333333333,0.08233333333333334,0.0,0.32433333333333336,0.7771111111111111,0.1965111111111111,9,1,4,180106.8722095609,17.990922940471954,2.3599743524971712,0.3333333333333333,0.5,0.0497805433879543,0.0,0.12586202763343676,0.21168930325151322,0.10011807334897686,8.0
991,Primitive Man,Caustic,7jgBTDv98zf3RuEOtHOcit,29.0,386666.6666666667,105.58283333333334,-8.09425,1.0,0.0,0.13319999999999996,0.0,0.23275,0.7028333333333331,0.13465833333333332,4,1,4,250551.26719671325,16.853745134557066,2.8570839592143598,0.0,0.0,0.15347683864349043,0.0,0.10888953952598851,0.15587106171059426,0.0708017007799483,8.0
992,Princess Nokia,1992 Deluxe,0HDrblLFAsyyytu3xKtbnL,57.0,186929.9375,122.66006250000001,-8.5328125,0.0,0.125,0.2550625,0.0,0.6839999999999999,0.6323124999999999,0.43606249999999996,2,1,4,32206.77495283406,39.09954964185437,1.7427341820159106,0.0,0.3415650255319866,0.09050043738384177,0.0,0.15917244317615617,0.11630403761979492,0.16551957336419962,8.0
993,Protomartyr,Relatives In Descent,5w1LR7cbTKEoCfgB98rkgR,42.0,217160.33333333334,127.29141666666668,-7.477833333333333,0.9166666666666666,0.0,0.07428333333333333,0.0,0.36825,0.8079999999999998,0.33575,0,1,4,60865.81521874511,31.054263980266235,1.229983949143856,0.28867513459481287,0.0,0.0606328418858255,0.0,0.1066294561042628,0.1493385415758437,0.12655442594896762,8.0
994,Protomartyr,The Agent Intellect,6ReX2BMiDkmAojRLeJll8k,40.0,219467.91666666666,143.93566666666666,-5.8035,0.8333333333333334,0.0,0.05096666666666666,0.0,0.32036666666666663,0.8573333333333332,0.34447500000000003,1,1,4,69736.18467997584,28.715417848995752,1.330030724183741,0.3892494720807615,0.0,0.015013771456011094,0.0,0.09712997228019533,0.09372428940377425,0.20576759672901945,7.0
995,Prurient,Frozen Niagara Falls,5Pm2WvqxlDttK4hTx1vKe3,21.0,343752.4375,116.00918750000001,-10.0854375,0.625,0.125,0.13790625000000004,0.0,0.3411875000000001,0.718125,0.07196249999999998,1,1,4,182243.91601805488,25.825051272537042,2.6149256705497383,0.49999999999999994,0.3415650255319866,0.12484809686842112,0.0,0.15092745221904902,0.29367212442904195,0.07863547863401099,8.0
996,Prurient,Rainbow Mirror,5S2Zs1z2Ior1rk0t6g2xq5,14.0,801566.2666666667,101.06953333333334,-9.525133333333333,0.8666666666666667,0.13333333333333333,0.07793333333333333,0.0,0.20897333333333334,0.6224666666666667,0.05812666666666667,8,0,3,232609.49079011823,22.31152844820897,3.055338322783038,0.3518657752744984,0.3518657752744984,0.05776686725434358,0.0,0.09019381881471121,0.19127574212066079,0.034101287505368616,6.0
997,Purity Ring,Shrines,7ppypgQppMf3mkRbZxYIFM,57.0,209076.36363636365,133.16454545454545,-6.2562727272727265,0.0,0.0,0.0755909090909091,0.0,0.5624545454545454,0.7085454545454546,0.33559999999999995,9,0,4,45370.83804223309,28.63956565789235,1.7092315285477906,0.0,0.0,0.04716092565981831,0.0,0.19488476781747907,0.1699849191171756,0.22209142261690346,6.0
998,Purity Ring,another eternity,4ymjpcGruNuUUUZOeGawLe,56.0,212781.4,127.7094,-7.636100000000001,0.0,0.1,0.06989,0.0,0.5262,0.5912999999999998,0.30538000000000004,0,1,4,23765.806343474982,26.22512579866025,1.383192960749391,0.0,0.31622776601683794,0.0596473609363119,0.0,0.14965426823181488,0.11691217026278988,0.11840711127292987,4.0
999,Pusha T,DAYTONA,07bIdDDe3I3hhWpxU6tuBp,63.0,181459.14285714287,98.52371428571429,-4.639857142857143,0.0,0.0,0.2064571428571429,0.0,0.6547142857142857,0.6639999999999999,0.30498571428571436,10,1,4,20221.819366125055,26.67063139306533,2.061638864962486,0.0,0.0,0.08277517456224133,0.0,0.1257520235565672,0.10948820332194092,0.24995694581648414,8.0
1000,Pusha T,King Push – Darkest Before Dawn: The Prelude,4OoNqHBpbgDoqtN3u1IdiC,50.0,199820.0,112.6067,-6.2268,0.0,0.0,0.33811,0.0,0.6378999999999999,0.7283,0.41591999999999996,1,1,4,48942.58928581528,41.54091844876166,2.068092776771229,0.0,0.0,0.1335568497349017,0.0,0.0991614284330802,0.13564500236524257,0.22228184711207427,7.0
1001,Pusha T,My Name Is My Name,42oQv8fbI5CbeuAasf2ILC,56.0,232296.58333333334,119.07291666666667,-5.87775,0.0,0.08333333333333333,0.2898666666666667,0.0,0.6096666666666666,0.6933333333333334,0.42935833333333334,7,1,4,40267.98464482746,37.08808428214778,1.5589725127321987,0.0,0.28867513459481287,0.11128601425919148,0.0,0.15189310435801603,0.10277365539098159,0.2752028589252046,6.0
